time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration
10,6,343,301,0,0.0,0,0.0
11,6,343,301,0,0.0,0,0.0
12,6,343,301,0,0.0,0,0.0
13,6,343,301,0,0.0,0,0.0
14,6,343,301,0,0.0,0,0.0
15,6,343,301,0,0.0,0,0.0
16,6,343,301,0,0.0,0,0.0
17,6,343,301,0,0.0,0,0.0
18,6,343,301,0,0.0,0,0.0
19,6,343,301,0,0.0,0,0.0
20,6,343,301,0,0.0,0,0.0
0,7,595,324,1,2376.0,6223,98.72778402699663
1,7,595,324,1,2380.0,6125,94.81567346938776
2,7,595,324,1,2383.0,5986,88.60775141997995
3,7,595,324,1,2373.0,5743,79.29897266237158
4,7,595,324,1,2377.0,5585,73.99946284691137
5,7,595,324,1,2367.0,5793,77.39720352149145
6,7,595,324,1,2381.0,6005,90.01448792672772
7,7,595,324,1,2362.0,6093,93.66469719350074
8,7,595,324,1,2381.0,6187,95.54840795215775
9,7,595,324,1,2377.0,6018,88.83599202392821
10,7,595,324,0,0.0,0,0.0
11,7,595,324,0,0.0,0,0.0
12,7,595,324,0,0.0,0,0.0
13,7,595,324,0,0.0,0,0.0
14,7,595,324,0,0.0,0,0.0
15,7,595,324,0,0.0,0,0.0
16,7,595,324,0,0.0,0,0.0
17,7,595,324,0,0.0,0,0.0
18,7,595,324,0,0.0,0,0.0
19,7,595,324,0,0.0,0,0.0
20,7,595,324,0,0.0,0,0.0
0,8,390,420,1,2548.0,5471,92.96435752147688
1,8,390,420,1,2559.0,5290,84.5179584120983
2,8,390,420,1,2535.0,5293,83.63385603627432
3,8,390,420,1,2553.0,5717,110.73412629001224
4,8,390,420,1,2548.0,5955,131.65910999160369
5,8,390,420,1,2564.0,5886,131.13285762827047
6,8,390,420,1,2560.0,5865,125.79590792838874
7,8,390,420,1,2545.0,5759,118.92637610696302
8,8,390,420,1,2565.0,5739,112.69245513155602
9,8,390,420,1,2549.0,5648,103.06975920679886
10,8,390,420,0,0.0,0,0.0
11,8,390,420,0,0.0,0,0.0
12,8,390,420,0,0.0,0,0.0
13,8,390,420,0,0.0,0,0.0
14,8,390,420,0,0.0,0,0.0
15,8,390,420,0,0.0,0,0.0
16,8,390,420,0,0.0,0,0.0
17,8,390,420,0,0.0,0,0.0
18,8,390,420,0,0.0,0,0.0
19,8,390,420,0,0.0,0,0.0
20,8,390,420,0,0.0,0,0.0
0,9,448,535,1,2390.0,5645,65.15465013286094
1,9,448,535,1,2386.0,5954,70.94440712126301
2,9,448,535,1,2402.0,6094,73.71234000656384
