time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name
0,1,103,135,1,2640.0,6240,77.32772435897436,rep2_FOV4
1,1,103,135,1,2667.0,6247,77.33840243316791,rep2_FOV4
2,1,103,135,1,2680.0,6290,76.89189189189189,rep2_FOV4
3,1,103,135,1,2675.0,6220,75.11720257234727,rep2_FOV4
4,1,103,135,1,2662.0,6364,78.4566310496543,rep2_FOV4
5,1,103,135,1,2673.0,6515,83.639907904835,rep2_FOV4
6,1,103,135,1,2658.0,6638,89.38159084061465,rep2_FOV4
7,1,103,135,1,2669.0,6696,93.45624253285544,rep2_FOV4
8,1,103,135,1,2671.0,6668,90.69616076784644,rep2_FOV4
9,1,103,135,1,2683.0,6524,86.14730226854691,rep2_FOV4
10,1,103,135,1,2650.0,6370,80.92354788069073,rep2_FOV4
11,1,103,135,1,2670.0,6277,79.19945833997133,rep2_FOV4
12,1,103,135,1,2668.0,6243,75.54557103956431,rep2_FOV4
13,1,103,135,1,2651.0,5965,71.32841575859179,rep2_FOV4
14,1,103,135,0,0.0,0,0.0,rep2_FOV4
15,1,103,135,0,0.0,0,0.0,rep2_FOV4
16,1,103,135,0,0.0,0,0.0,rep2_FOV4
17,1,103,135,0,0.0,0,0.0,rep2_FOV4
18,1,103,135,0,0.0,0,0.0,rep2_FOV4
19,1,103,135,0,0.0,0,0.0,rep2_FOV4
20,1,103,135,0,0.0,0,0.0,rep2_FOV4
0,2,503,210,1,2336.0,5964,132.7562038900067,rep2_FOV4
1,2,503,210,1,2355.0,5820,118.74725085910653,rep2_FOV4
2,2,503,210,1,2334.0,5564,102.14629762760605,rep2_FOV4
3,2,503,210,1,2337.0,5577,94.55979917518378,rep2_FOV4
4,2,503,210,1,2348.0,5561,95.69250134867829,rep2_FOV4
5,2,503,210,1,2346.0,5414,90.51366826745475,rep2_FOV4
6,2,503,210,1,2341.0,5350,82.90598130841121,rep2_FOV4
7,2,503,210,1,2332.0,5195,78.36438883541867,rep2_FOV4
8,2,503,210,1,2359.0,5001,73.21755648870226,rep2_FOV4
9,2,503,210,1,2344.0,5111,75.6615143807474,rep2_FOV4
10,2,503,210,1,2348.0,5331,83.85781279309698,rep2_FOV4
11,2,503,210,1,2350.0,5661,99.92527821939586,rep2_FOV4
12,2,503,210,1,2354.0,5644,101.4454287739192,rep2_FOV4
13,2,503,210,0,0.0,0,0.0,rep2_FOV4
14,2,503,210,0,0.0,0,0.0,rep2_FOV4
15,2,503,210,0,0.0,0,0.0,rep2_FOV4
16,2,503,210,0,0.0,0,0.0,rep2_FOV4
