time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name
0,1,240,66,1,2311.0,5532,125.01970354302242,rep2_FOV3
1,1,240,66,1,2331.0,5398,114.89440533530937,rep2_FOV3
2,1,240,66,1,2337.0,5340,107.48352059925094,rep2_FOV3
3,1,240,66,1,2325.0,5319,102.72081218274111,rep2_FOV3
4,1,240,66,1,2315.0,5305,102.10311027332705,rep2_FOV3
5,1,240,66,1,2322.0,5255,95.89248334919125,rep2_FOV3
6,1,240,66,0,0.0,0,0.0,rep2_FOV3
7,1,240,66,0,0.0,0,0.0,rep2_FOV3
8,1,240,66,0,0.0,0,0.0,rep2_FOV3
9,1,240,66,0,0.0,0,0.0,rep2_FOV3
10,1,240,66,0,0.0,0,0.0,rep2_FOV3
11,1,240,66,0,0.0,0,0.0,rep2_FOV3
12,1,240,66,0,0.0,0,0.0,rep2_FOV3
13,1,240,66,0,0.0,0,0.0,rep2_FOV3
14,1,240,66,0,0.0,0,0.0,rep2_FOV3
15,1,240,66,0,0.0,0,0.0,rep2_FOV3
16,1,240,66,0,0.0,0,0.0,rep2_FOV3
17,1,240,66,0,0.0,0,0.0,rep2_FOV3
18,1,240,66,0,0.0,0,0.0,rep2_FOV3
19,1,240,66,0,0.0,0,0.0,rep2_FOV3
20,1,240,66,0,0.0,0,0.0,rep2_FOV3
0,2,352,71,1,2308.0,5432,106.37592047128129,rep2_FOV3
1,2,352,71,1,2332.0,5422,106.55588343784581,rep2_FOV3
2,2,352,71,1,2314.0,5361,103.14605484051484,rep2_FOV3
3,2,352,71,1,2329.0,5254,96.08488770460602,rep2_FOV3
4,2,352,71,1,2314.0,5171,93.89267066331463,rep2_FOV3
5,2,352,71,1,2295.0,5210,94.4831094049904,rep2_FOV3
6,2,352,71,1,2301.0,5255,95.29914367269268,rep2_FOV3
7,2,352,71,1,2300.0,5289,99.87048591416146,rep2_FOV3
8,2,352,71,1,2305.0,5619,135.51165687844812,rep2_FOV3
9,2,352,71,1,2285.0,5727,158.31691985332634,rep2_FOV3
10,2,352,71,1,2315.0,5850,165.54,rep2_FOV3
11,2,352,71,0,0.0,0,0.0,rep2_FOV3
12,2,352,71,0,0.0,0,0.0,rep2_FOV3
13,2,352,71,0,0.0,0,0.0,rep2_FOV3
14,2,352,71,0,0.0,0,0.0,rep2_FOV3
15,2,352,71,0,0.0,0,0.0,rep2_FOV3
16,2,352,71,0,0.0,0,0.0,rep2_FOV3
17,2,352,71,0,0.0,0,0.0,rep2_FOV3
18,2,352,71,0,0.0,0,0.0,rep2_FOV3
19,2,352,71,0,0.0,0,0.0,rep2_FOV3
20,2,352,71,0,0.0,0,0.0,rep2_FOV3
0,3,142,139,1,2652.0,6127,183.24269626244492,rep2_FOV3
1,3,142,139,1,2661.0,6104,177.55275229357798,rep2_FOV3
2,3,142,139,1,2676.0,6046,169.3476678795898,rep2_FOV3
