time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,396,89,1,2566.0,5342,72.20086110071135,1,0,0,rep1_FOV2
1,1,396,89,1,2577.0,5132,70.3207326578332,1,1,0,rep1_FOV2
2,1,396,89,1,2558.0,5194,70.69098960338853,2,1,0,rep1_FOV2
3,1,396,89,1,2563.0,5129,71.338272567752,1,1,1,rep1_FOV2
4,1,396,89,1,2562.0,5432,75.16163475699558,3,3,0,rep1_FOV2
5,1,396,89,1,2543.0,5605,81.64460303300625,2,2,0,rep1_FOV2
6,1,396,89,1,2559.0,5611,85.42790946355373,3,3,1,rep1_FOV2
7,1,396,89,1,2540.0,5742,91.17903169627307,3,3,1,rep1_FOV2
8,1,396,89,1,2559.0,5820,92.7520618556701,1,4,0,rep1_FOV2
9,1,396,89,1,2549.0,5786,92.25198755617006,1,4,1,rep1_FOV2
10,1,396,89,1,2560.0,5905,104.2692633361558,2,5,0,rep1_FOV2
11,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
12,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
13,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
14,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
15,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
16,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
17,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
18,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
19,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
20,1,396,89,0,0.0,0,0.0,0,0,0,rep1_FOV2
0,2,300,183,1,2687.0,6430,125.1099533437014,0,4,0,rep1_FOV2
1,2,300,183,1,2657.0,6288,113.0178117048346,0,3,0,rep1_FOV2
2,2,300,183,1,2688.0,6214,101.22175732217573,0,0,0,rep1_FOV2
3,2,300,183,1,2676.0,5904,85.76626016260163,0,0,1,rep1_FOV2
4,2,300,183,1,2681.0,5741,82.53875631423097,2,2,1,rep1_FOV2
5,2,300,183,1,2683.0,5923,88.52979908829985,3,5,0,rep1_FOV2
