time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name
0,1,564,71,1,2827.0,6654,125.84971445746919,rep1_FOV3
1,1,564,71,1,2826.0,6680,131.01736526946107,rep1_FOV3
2,1,564,71,1,2831.0,6661,128.34709503077616,rep1_FOV3
3,1,564,71,1,2842.0,6578,119.14654910307084,rep1_FOV3
4,1,564,71,1,2821.0,6495,106.86420323325635,rep1_FOV3
5,1,564,71,1,2827.0,5622,70.40928495197439,rep1_FOV3
6,1,564,71,1,2830.0,5475,70.01771689497717,rep1_FOV3
7,1,564,71,1,2834.0,5738,72.89682816312303,rep1_FOV3
8,1,564,71,1,2819.0,5838,77.36348064405618,rep1_FOV3
9,1,564,71,1,2820.0,6015,79.75411471321696,rep1_FOV3
10,1,564,71,1,2831.0,5831,76.91425141485165,rep1_FOV3
11,1,564,71,1,2832.0,5772,74.93364518364518,rep1_FOV3
12,1,564,71,1,2826.0,5804,74.05582356995176,rep1_FOV3
13,1,564,71,1,2828.0,5649,71.19313152770401,rep1_FOV3
14,1,564,71,1,2848.0,5550,70.5145945945946,rep1_FOV3
15,1,564,71,1,2829.0,5539,68.40621050731178,rep1_FOV3
16,1,564,71,1,2807.0,5521,69.64444846948017,rep1_FOV3
17,1,564,71,1,2834.0,5608,69.0,rep1_FOV3
18,1,564,71,1,2841.0,5390,68.14025974025974,rep1_FOV3
19,1,564,71,1,2834.0,5477,69.74566368449881,rep1_FOV3
20,1,564,71,1,2830.0,5697,70.94435667895384,rep1_FOV3
0,2,120,127,1,2657.0,5880,70.06462585034014,rep1_FOV3
1,2,120,127,1,2662.0,6126,76.53607574273587,rep1_FOV3
2,2,120,127,1,2635.0,6156,77.99545159194282,rep1_FOV3
3,2,120,127,1,2653.0,6355,82.97513768686073,rep1_FOV3
4,2,120,127,1,2667.0,6514,91.0546515198035,rep1_FOV3
5,2,120,127,1,2662.0,5842,69.08370421088668,rep1_FOV3
6,2,120,127,1,2677.0,5721,69.77766124803357,rep1_FOV3
7,2,120,127,1,2640.0,5746,66.40654368256178,rep1_FOV3
8,2,120,127,1,2657.0,5764,68.37161693268564,rep1_FOV3
9,2,120,127,1,2660.0,5804,68.51481736733287,rep1_FOV3
10,2,120,127,1,2638.0,5657,69.08538094396323,rep1_FOV3
11,2,120,127,1,2647.0,5775,69.30787878787879,rep1_FOV3
12,2,120,127,1,2647.0,5652,68.00884642604387,rep1_FOV3
13,2,120,127,1,2673.0,5661,67.36954601660484,rep1_FOV3
14,2,120,127,1,2646.0,5490,66.00109289617487,rep1_FOV3
15,2,120,127,1,2679.0,5638,65.81110322809506,rep1_FOV3
16,2,120,127,1,2646.0,5609,66.95043679800321,rep1_FOV3
17,2,120,127,1,2622.0,5392,65.47143916913947,rep1_FOV3
18,2,120,127,1,2649.0,5466,67.08854738382729,rep1_FOV3
19,2,120,127,1,2668.0,5687,66.55670828204677,rep1_FOV3
20,2,120,127,1,2634.0,5829,70.47778349631155,rep1_FOV3
0,3,338,133,1,2471.0,6037,75.58837170780188,rep1_FOV3
1,3,338,133,1,2503.0,5904,71.90514905149051,rep1_FOV3
2,3,338,133,1,2482.0,5881,69.79612310831492,rep1_FOV3
3,3,338,133,1,2499.0,5746,68.14288200487296,rep1_FOV3
4,3,338,133,1,2495.0,5495,67.14358507734303,rep1_FOV3
5,3,338,133,1,2485.0,5125,65.2679024390244,rep1_FOV3
6,3,338,133,1,2484.0,5900,70.07271186440678,rep1_FOV3
7,3,338,133,1,2488.0,5884,70.21838885112169,rep1_FOV3
8,3,338,133,1,2477.0,5511,67.0431863545636,rep1_FOV3
9,3,338,133,1,2497.0,5735,68.78064516129032,rep1_FOV3
10,3,338,133,1,2490.0,5679,68.37893995421729,rep1_FOV3
11,3,338,133,1,2482.0,5753,67.37128454719277,rep1_FOV3
12,3,338,133,1,2483.0,5663,66.77043969627405,rep1_FOV3
13,3,338,133,1,2486.0,5487,67.40787315472936,rep1_FOV3
14,3,338,133,1,2486.0,5280,65.90094696969697,rep1_FOV3
15,3,338,133,1,2498.0,5594,65.0588130139435,rep1_FOV3
16,3,338,133,1,2465.0,5525,64.60651583710407,rep1_FOV3
17,3,338,133,1,2492.0,5521,64.48958522006883,rep1_FOV3
18,3,338,133,1,2485.0,5597,65.87278899410398,rep1_FOV3
19,3,338,133,1,2530.0,5764,68.19014573213046,rep1_FOV3
20,3,338,133,1,2477.0,5780,69.50536332179931,rep1_FOV3
0,4,568,354,1,2646.0,6973,163.82532625842535,rep1_FOV3
1,4,568,354,1,10.0,6993,163.01487201487203,rep1_FOV3
2,4,568,354,1,2644.0,6984,159.87557273768613,rep1_FOV3
3,4,568,354,1,2629.0,7014,165.7072996863416,rep1_FOV3
4,4,568,354,1,2635.0,7046,175.34885041158103,rep1_FOV3
5,4,568,354,1,2638.0,6117,82.50531306195847,rep1_FOV3
6,4,568,354,1,2636.0,5845,74.99110350727118,rep1_FOV3
7,4,568,354,1,2631.0,5685,71.10765171503958,rep1_FOV3
8,4,568,354,1,2639.0,5675,70.9279295154185,rep1_FOV3
