time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name
0,1,518,66,1,2372.0,5893,98.10962158493128,rep2_FOV3
1,1,518,66,1,2374.0,5647,87.28333628475296,rep2_FOV3
2,1,518,66,1,2388.0,5546,82.07140281283809,rep2_FOV3
3,1,518,66,1,2362.0,5440,79.09650735294117,rep2_FOV3
4,1,518,66,1,2367.0,5223,72.92111813134214,rep2_FOV3
5,1,518,66,1,2389.0,4792,66.36707011686144,rep2_FOV3
6,1,518,66,1,2356.0,4904,66.53038336052202,rep2_FOV3
7,1,518,66,1,2356.0,5027,65.84901531728666,rep2_FOV3
8,1,518,66,1,2391.0,5226,71.97206276310754,rep2_FOV3
9,1,518,66,1,2357.0,5379,75.50622792340583,rep2_FOV3
10,1,518,66,1,2358.0,5406,78.40048094709582,rep2_FOV3
11,1,518,66,1,2379.0,5434,79.09771807140228,rep2_FOV3
12,1,518,66,1,2374.0,5245,71.95710200190658,rep2_FOV3
13,1,518,66,1,2371.0,5238,73.83123329515082,rep2_FOV3
14,1,518,66,1,2369.0,5262,72.31413911060433,rep2_FOV3
15,1,518,66,1,2385.0,5209,71.45651756575158,rep2_FOV3
16,1,518,66,1,2347.0,5184,75.06520061728395,rep2_FOV3
17,1,518,66,1,2396.0,5285,74.50236518448439,rep2_FOV3
18,1,518,66,1,2380.0,5003,68.91864881071358,rep2_FOV3
19,1,518,66,1,2371.0,5051,69.1397743021184,rep2_FOV3
20,1,518,66,1,2368.0,5214,75.22823168392789,rep2_FOV3
0,2,159,90,1,2513.0,6904,138.93902085747393,rep2_FOV3
1,2,159,90,1,2529.0,7017,154.74034487672796,rep2_FOV3
2,2,159,90,1,2520.0,7083,167.03247211633487,rep2_FOV3
3,2,159,90,1,2522.0,7096,180.94856257046223,rep2_FOV3
4,2,159,90,1,2509.0,7098,175.5712876866723,rep2_FOV3
5,2,159,90,1,2509.0,5993,78.42432838311363,rep2_FOV3
6,2,159,90,1,2496.0,5790,70.81640759930916,rep2_FOV3
7,2,159,90,1,2522.0,5988,74.54809619238478,rep2_FOV3
8,2,159,90,1,2516.0,5789,73.88616341337018,rep2_FOV3
9,2,159,90,1,2524.0,5619,70.56344545292757,rep2_FOV3
10,2,159,90,1,2496.0,5603,67.87988577547742,rep2_FOV3
11,2,159,90,1,2521.0,5616,68.1445868945869,rep2_FOV3
12,2,159,90,1,2510.0,5679,68.49832717027645,rep2_FOV3
13,2,159,90,0,0.0,0,0.0,rep2_FOV3
14,2,159,90,0,0.0,0,0.0,rep2_FOV3
15,2,159,90,0,0.0,0,0.0,rep2_FOV3
16,2,159,90,0,0.0,0,0.0,rep2_FOV3
17,2,159,90,0,0.0,0,0.0,rep2_FOV3
18,2,159,90,0,0.0,0,0.0,rep2_FOV3
19,2,159,90,0,0.0,0,0.0,rep2_FOV3
20,2,159,90,0,0.0,0,0.0,rep2_FOV3
0,3,393,113,1,2325.0,6636,101.5473176612417,rep2_FOV3
1,3,393,113,1,2330.0,6760,109.82751479289941,rep2_FOV3
2,3,393,113,1,2340.0,6836,112.46737858396723,rep2_FOV3
3,3,393,113,1,2327.0,6705,106.45473527218493,rep2_FOV3
4,3,393,113,1,2344.0,6684,102.54637941352483,rep2_FOV3
5,3,393,113,1,2336.0,6060,73.65445544554456,rep2_FOV3
6,3,393,113,1,2318.0,5683,69.61094492345592,rep2_FOV3
7,3,393,113,1,2334.0,5796,69.41425120772946,rep2_FOV3
8,3,393,113,1,2308.0,5768,68.73248959778086,rep2_FOV3
9,3,393,113,1,2323.0,5630,66.8689165186501,rep2_FOV3
10,3,393,113,1,2342.0,5614,67.12682579266121,rep2_FOV3
11,3,393,113,1,2342.0,5578,64.57601290785227,rep2_FOV3
12,3,393,113,1,2333.0,5737,66.422869095346,rep2_FOV3
13,3,393,113,1,2343.0,5582,65.69025438910785,rep2_FOV3
14,3,393,113,1,2317.0,5517,66.22711618633315,rep2_FOV3
15,3,393,113,1,2346.0,5585,67.02148612354522,rep2_FOV3
16,3,393,113,1,2322.0,5764,67.42973629424012,rep2_FOV3
17,3,393,113,1,2321.0,5646,65.85122210414453,rep2_FOV3
18,3,393,113,1,2351.0,5742,67.92964123998607,rep2_FOV3
19,3,393,113,1,2327.0,5881,72.30113926203026,rep2_FOV3
20,3,393,113,1,2326.0,5948,72.296738399462,rep2_FOV3
