time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,600,88,1,2646.0,5552,77.7914265129683,0,1,0,rep2_FOV6
1,1,600,88,1,2668.0,5566,78.55874955084441,1,3,1,rep2_FOV6
2,1,600,88,1,2660.0,5718,83.77632039174537,3,5,0,rep2_FOV6
3,1,600,88,1,2647.0,5955,94.32728799328295,1,6,0,rep2_FOV6
4,1,600,88,1,2654.0,6057,95.88987947828959,2,5,0,rep2_FOV6
5,1,600,88,1,2654.0,5336,72.69508995502248,0,4,1,rep2_FOV6
6,1,600,88,1,2648.0,5710,81.2446584938704,4,4,1,rep2_FOV6
7,1,600,88,1,2664.0,5648,82.4985835694051,3,7,1,rep2_FOV6
8,1,600,88,1,2651.0,5663,79.327388310083,5,6,0,rep2_FOV6
9,1,600,88,1,2657.0,5502,75.1237731733915,3,7,0,rep2_FOV6
10,1,600,88,1,2650.0,5273,70.06239332448321,3,4,0,rep2_FOV6
11,1,600,88,1,2676.0,5270,67.2045540796964,1,2,0,rep2_FOV6
12,1,600,88,1,2654.0,5127,66.73629803003706,0,0,0,rep2_FOV6
13,1,600,88,1,2653.0,4878,66.61767117671177,0,0,0,rep2_FOV6
14,1,600,88,1,2652.0,4993,66.26437011816543,0,0,0,rep2_FOV6
15,1,600,88,1,2655.0,5118,65.13599062133646,0,0,0,rep2_FOV6
16,1,600,88,1,2656.0,4998,66.26090436174469,0,0,0,rep2_FOV6
17,1,600,88,1,2675.0,5026,65.86947871070434,2,1,0,rep2_FOV6
18,1,600,88,1,2661.0,5035,66.68023833167825,1,0,0,rep2_FOV6
19,1,600,88,1,2666.0,5108,66.46123727486297,1,0,0,rep2_FOV6
20,1,600,88,1,2657.0,4972,65.4732502011263,0,1,0,rep2_FOV6
0,2,88,102,1,2633.0,5696,90.17257724719101,0,1,1,rep2_FOV6
1,2,88,102,1,2620.0,5653,84.46789315407749,4,6,0,rep2_FOV6
2,2,88,102,1,2619.0,5686,87.87794583186775,0,2,1,rep2_FOV6
3,2,88,102,1,2620.0,5666,91.29774091069538,4,5,0,rep2_FOV6
4,2,88,102,1,2630.0,5744,93.10480501392757,2,5,0,rep2_FOV6
5,2,88,102,1,2622.0,5114,70.67344544387954,0,4,1,rep2_FOV6
6,2,88,102,1,2623.0,5136,71.12363707165109,1,7,1,rep2_FOV6
7,2,88,102,1,2607.0,5259,71.6866324396273,5,6,0,rep2_FOV6
8,2,88,102,1,2621.0,5306,74.45382585751979,3,4,1,rep2_FOV6
9,2,88,102,1,2622.0,5354,75.52745610758312,4,5,0,rep2_FOV6
10,2,88,102,1,2615.0,5172,70.71171693735499,1,5,0,rep2_FOV6
11,2,88,102,1,2614.0,5235,70.32148997134671,1,4,0,rep2_FOV6
12,2,88,102,1,2601.0,5211,67.93782383419689,1,3,0,rep2_FOV6
13,2,88,102,1,2623.0,4967,68.66519025568753,1,2,1,rep2_FOV6
14,2,88,102,1,2624.0,4942,66.671388101983,1,4,1,rep2_FOV6
15,2,88,102,1,2615.0,5166,68.73015873015873,3,1,0,rep2_FOV6
16,2,88,102,1,2630.0,5248,71.49809451219512,2,10,1,rep2_FOV6
17,2,88,102,1,2620.0,5303,75.09504054308881,0,5,2,rep2_FOV6
18,2,88,102,1,2619.0,5427,79.42399115533443,2,8,1,rep2_FOV6
19,2,88,102,1,2632.0,5422,75.4151604573958,0,10,1,rep2_FOV6
20,2,88,102,1,2632.0,5420,76.17970479704798,1,6,1,rep2_FOV6
0,3,464,108,1,2608.0,6655,152.48519909842224,1,8,0,rep2_FOV6
1,3,464,108,1,2597.0,6649,143.81170100767034,4,6,0,rep2_FOV6
2,3,464,108,1,2595.0,6525,131.2735632183908,1,6,0,rep2_FOV6
3,3,464,108,1,2597.0,6406,117.06977833281299,1,5,0,rep2_FOV6
4,3,464,108,1,2629.0,6237,102.98172198172198,0,2,0,rep2_FOV6
5,3,464,108,1,2592.0,5392,70.35886498516321,0,0,0,rep2_FOV6
6,3,464,108,1,2590.0,5202,66.63783160322953,0,0,0,rep2_FOV6
7,3,464,108,1,2597.0,5207,67.3850585749952,0,0,0,rep2_FOV6
8,3,464,108,1,2581.0,5224,66.46171516079633,0,0,0,rep2_FOV6
9,3,464,108,1,2608.0,5077,64.88280480598779,0,1,0,rep2_FOV6
10,3,464,108,1,2609.0,5201,65.89963468563738,0,1,0,rep2_FOV6
11,3,464,108,1,2599.0,5171,66.90562753819377,0,1,0,rep2_FOV6
12,3,464,108,1,2604.0,5154,65.67753201396974,0,1,0,rep2_FOV6
13,3,464,108,1,2612.0,5157,65.19352336629824,0,1,0,rep2_FOV6
14,3,464,108,1,2606.0,5333,68.78904931558222,1,4,1,rep2_FOV6
15,3,464,108,1,2607.0,5615,74.58219056099733,1,6,1,rep2_FOV6
16,3,464,108,1,2600.0,5677,74.58728201514884,3,2,1,rep2_FOV6
17,3,464,108,1,2602.0,5627,73.10485160831705,4,6,0,rep2_FOV6
