time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,514,73,1,2274.0,5427,93.99060254284134,0,2,1,rep2_FOV6
1,1,514,73,1,2267.0,5327,90.88342406607846,2,2,1,rep2_FOV6
2,1,514,73,1,2262.0,5468,97.17172640819312,1,5,1,rep2_FOV6
3,1,514,73,1,2264.0,5656,111.81488684582744,3,5,1,rep2_FOV6
4,1,514,73,1,2278.0,5869,132.4707786675754,2,9,0,rep2_FOV6
5,1,514,73,1,2253.0,5647,113.28723215866832,1,9,1,rep2_FOV6
6,1,514,73,1,2239.0,5520,98.60579710144927,1,6,0,rep2_FOV6
7,1,514,73,1,2287.0,5325,88.91661971830986,1,5,0,rep2_FOV6
8,1,514,73,1,2252.0,5087,80.62256732848437,2,1,0,rep2_FOV6
9,1,514,73,1,2245.0,4972,76.23250201126308,0,2,0,rep2_FOV6
10,1,514,73,1,2251.0,4811,70.74579089586365,0,0,0,rep2_FOV6
11,1,514,73,1,2255.0,4713,69.90070019096117,0,0,0,rep2_FOV6
12,1,514,73,1,2250.0,4620,67.71580086580087,0,0,0,rep2_FOV6
13,1,514,73,1,2257.0,4581,67.23357345557739,0,0,0,rep2_FOV6
14,1,514,73,1,2258.0,4431,65.82171067479125,1,1,1,rep2_FOV6
15,1,514,73,1,2264.0,4553,66.44146716450692,1,1,0,rep2_FOV6
16,1,514,73,1,2245.0,4584,67.782722513089,1,1,0,rep2_FOV6
17,1,514,73,1,2262.0,4620,67.06385281385282,1,1,0,rep2_FOV6
18,1,514,73,1,2256.0,4732,67.77641589180051,0,3,1,rep2_FOV6
19,1,514,73,1,2270.0,4811,69.18582415298275,2,4,1,rep2_FOV6
20,1,514,73,1,2261.0,4903,74.2359779726698,4,10,0,rep2_FOV6
0,2,231,78,1,2425.0,7176,139.9471850613155,3,8,0,rep2_FOV6
1,2,231,78,1,2421.0,7270,150.8317744154058,2,10,0,rep2_FOV6
2,2,231,78,1,2430.0,7165,144.39218422889044,2,6,0,rep2_FOV6
3,2,231,78,1,2427.0,7079,131.50557988416443,1,6,0,rep2_FOV6
4,2,231,78,1,2448.0,7052,118.09217243335225,1,4,0,rep2_FOV6
5,2,231,78,1,2416.0,6710,99.38017883755589,1,3,0,rep2_FOV6
