time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name
0,1,217,91,1,2720.0,7136,131.6670403587444,rep2_FOV5
1,1,217,91,1,2719.0,7348,150.88527490473598,rep2_FOV5
2,1,217,91,1,2704.0,7378,152.5788831661697,rep2_FOV5
3,1,217,91,1,2714.0,7279,147.48742959197693,rep2_FOV5
4,1,217,91,1,2702.0,7163,136.30587742565965,rep2_FOV5
5,1,217,91,1,2710.0,7028,111.65352874217416,rep2_FOV5
6,1,217,91,1,2718.0,6746,93.11769937740884,rep2_FOV5
7,1,217,91,1,2715.0,6580,83.09939209726444,rep2_FOV5
8,1,217,91,1,2717.0,6307,77.56572062787379,rep2_FOV5
9,1,217,91,1,2742.0,6158,73.39607015264696,rep2_FOV5
10,1,217,91,1,2709.0,6035,70.1658657829329,rep2_FOV5
11,1,217,91,1,2726.0,6024,68.60076361221779,rep2_FOV5
12,1,217,91,1,2719.0,5989,68.09901486057773,rep2_FOV5
13,1,217,91,1,2719.0,5784,66.75345781466113,rep2_FOV5
14,1,217,91,1,2733.0,5781,68.28697457187337,rep2_FOV5
15,1,217,91,1,2726.0,6006,71.43506493506493,rep2_FOV5
16,1,217,91,1,2711.0,6118,70.90258254331481,rep2_FOV5
17,1,217,91,1,2710.0,6096,70.21194225721784,rep2_FOV5
18,1,217,91,1,2721.0,6042,72.27325388944058,rep2_FOV5
19,1,217,91,1,2739.0,6182,72.55629246198642,rep2_FOV5
20,1,217,91,1,2722.0,6148,71.77944046844502,rep2_FOV5
0,2,456,116,1,2334.0,6046,96.60072775388687,rep2_FOV5
1,2,456,116,1,2330.0,5813,86.19559607775675,rep2_FOV5
2,2,456,116,1,2340.0,5861,83.41750554512882,rep2_FOV5
3,2,456,116,1,2331.0,5591,80.43748882131997,rep2_FOV5
4,2,456,116,1,2337.0,5691,80.41433842909858,rep2_FOV5
5,2,456,116,1,2335.0,5563,77.30684882257775,rep2_FOV5
6,2,456,116,1,2345.0,5467,73.16498993963782,rep2_FOV5
7,2,456,116,1,2322.0,5274,71.68373151308305,rep2_FOV5
8,2,456,116,1,2345.0,5380,71.72081784386617,rep2_FOV5
9,2,456,116,1,2332.0,5433,70.85753727222529,rep2_FOV5
10,2,456,116,1,2341.0,5340,71.47191011235955,rep2_FOV5
11,2,456,116,1,2334.0,5293,68.96599282070659,rep2_FOV5
12,2,456,116,1,2328.0,5147,66.28132892947347,rep2_FOV5
13,2,456,116,1,2320.0,5079,66.39023429809018,rep2_FOV5
14,2,456,116,1,2354.0,5182,67.64260903126205,rep2_FOV5
15,2,456,116,1,2346.0,5143,67.36710091386351,rep2_FOV5
16,2,456,116,1,2333.0,5118,66.19871043376318,rep2_FOV5
17,2,456,116,1,2336.0,5001,65.51769646070785,rep2_FOV5
18,2,456,116,1,2339.0,5201,66.4477985002884,rep2_FOV5
19,2,456,116,1,2332.0,5138,67.45971195017516,rep2_FOV5
20,2,456,116,1,2328.0,5329,68.48264214674423,rep2_FOV5
0,3,317,161,1,2521.0,5499,70.8974358974359,rep2_FOV5
1,3,317,161,1,2533.0,5356,68.45276325616132,rep2_FOV5
2,3,317,161,1,2531.0,5202,68.02595155709342,rep2_FOV5
3,3,317,161,1,2526.0,5252,65.63937547600914,rep2_FOV5
4,3,317,161,1,2532.0,5297,66.92070983575609,rep2_FOV5
5,3,317,161,1,2528.0,5414,67.05153306243074,rep2_FOV5
6,3,317,161,1,2512.0,5365,68.62982292637464,rep2_FOV5
7,3,317,161,1,2532.0,5350,69.9603738317757,rep2_FOV5
8,3,317,161,1,2537.0,5414,69.14628740302918,rep2_FOV5
9,3,317,161,1,2537.0,5423,69.73409551908537,rep2_FOV5
10,3,317,161,1,2538.0,5545,70.39422903516682,rep2_FOV5
11,3,317,161,1,2526.0,5490,69.32222222222222,rep2_FOV5
12,3,317,161,1,2523.0,5407,70.52838912520807,rep2_FOV5
13,3,317,161,1,2520.0,5594,73.24168752234537,rep2_FOV5
14,3,317,161,1,2529.0,5713,78.301767897777,rep2_FOV5
15,3,317,161,1,2521.0,5802,81.45949672526714,rep2_FOV5
16,3,317,161,1,2526.0,5745,79.89747606614448,rep2_FOV5
17,3,317,161,1,2529.0,5737,76.16750915112428,rep2_FOV5
18,3,317,161,1,2522.0,5465,72.43385178408052,rep2_FOV5
19,3,317,161,1,2529.0,5559,72.04425256341068,rep2_FOV5
20,3,317,161,1,2512.0,5534,73.15739067582219,rep2_FOV5
0,4,87,203,1,2387.0,6438,90.00481515998757,rep2_FOV5
1,4,87,203,1,2386.0,6720,107.00639880952382,rep2_FOV5
2,4,87,203,1,2406.0,6871,126.30126619123854,rep2_FOV5
3,4,87,203,1,2405.0,7036,136.97512791358727,rep2_FOV5
4,4,87,203,1,2399.0,7090,138.38236953455572,rep2_FOV5
5,4,87,203,1,2400.0,6771,111.12834145621031,rep2_FOV5
6,4,87,203,1,2398.0,6504,93.98108856088561,rep2_FOV5
7,4,87,203,1,2412.0,6340,83.29053627760253,rep2_FOV5
8,4,87,203,1,2414.0,6061,75.7846889952153,rep2_FOV5
9,4,87,203,1,2400.0,5871,71.63515585079203,rep2_FOV5
10,4,87,203,1,2393.0,5839,70.10481246788834,rep2_FOV5
11,4,87,203,1,2405.0,5645,68.46395039858281,rep2_FOV5
12,4,87,203,1,2397.0,5594,66.03682516982481,rep2_FOV5
13,4,87,203,1,2407.0,5617,66.34965283959409,rep2_FOV5
14,4,87,203,1,2407.0,5543,66.19249503878765,rep2_FOV5
15,4,87,203,1,2398.0,5577,67.01703424780348,rep2_FOV5
16,4,87,203,1,2394.0,5558,67.48326736236056,rep2_FOV5
17,4,87,203,1,2402.0,5926,70.04471819102261,rep2_FOV5
18,4,87,203,1,2394.0,5879,71.84878380676986,rep2_FOV5
19,4,87,203,1,2392.0,5945,74.01833473507149,rep2_FOV5
20,4,87,203,1,2394.0,5878,72.01922422592719,rep2_FOV5
0,5,202,293,1,2604.0,6306,126.15112591183001,rep2_FOV5
1,5,202,293,1,2597.0,6199,120.07839974189385,rep2_FOV5
2,5,202,293,1,2605.0,6114,109.57376512921165,rep2_FOV5
3,5,202,293,1,2605.0,5966,97.6208514917868,rep2_FOV5
4,5,202,293,1,2609.0,5860,90.69283276450511,rep2_FOV5
5,5,202,293,1,2613.0,5734,81.23351935821417,rep2_FOV5
6,5,202,293,1,2595.0,5521,76.4935700054338,rep2_FOV5
7,5,202,293,1,2597.0,5351,73.79536535227061,rep2_FOV5
8,5,202,293,1,2625.0,5327,72.13365871972968,rep2_FOV5
9,5,202,293,1,2588.0,5287,70.87270663892566,rep2_FOV5
10,5,202,293,1,2587.0,5349,69.35034585903907,rep2_FOV5
11,5,202,293,1,2591.0,5223,69.88550641393834,rep2_FOV5
12,5,202,293,1,2618.0,5202,70.47327950788159,rep2_FOV5
13,5,202,293,1,2605.0,5204,70.03170637970791,rep2_FOV5
14,5,202,293,1,2587.0,5302,70.49962278385514,rep2_FOV5
15,5,202,293,1,2600.0,5139,70.06907958746838,rep2_FOV5
16,5,202,293,1,2604.0,5258,69.74058577405857,rep2_FOV5
17,5,202,293,1,2622.0,5336,71.6911544227886,rep2_FOV5
18,5,202,293,1,2600.0,5347,73.57939031232466,rep2_FOV5
19,5,202,293,1,2603.0,5459,76.47481223667339,rep2_FOV5
20,5,202,293,1,2606.0,5785,81.74174589455488,rep2_FOV5
0,6,52,340,1,2419.0,5972,101.08590087073007,rep2_FOV5
1,6,52,340,1,2411.0,5876,98.93141592920354,rep2_FOV5
2,6,52,340,1,2443.0,5948,103.09498991257566,rep2_FOV5
3,6,52,340,1,2416.0,5856,95.52800546448087,rep2_FOV5
