time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name
15,4,521,223,1,2445.0,4726,69.74566229369445,rep1_FOV3
16,4,521,223,1,2448.0,4830,69.73706004140787,rep1_FOV3
17,4,521,223,1,2436.0,4716,67.99851569126378,rep1_FOV3
18,4,521,223,1,2423.0,4629,68.57744653272844,rep1_FOV3
19,4,521,223,1,2418.0,4749,68.0835965466414,rep1_FOV3
20,4,521,223,1,2451.0,4745,69.12075869336144,rep1_FOV3
0,5,290,315,1,2627.0,5490,82.08051001821494,rep1_FOV3
1,5,290,315,1,2633.0,5475,78.52712328767123,rep1_FOV3
2,5,290,315,1,2621.0,5360,75.35335820895523,rep1_FOV3
3,5,290,315,1,2609.0,5318,73.03629183903723,rep1_FOV3
4,5,290,315,1,2594.0,5162,70.99128244866331,rep1_FOV3
5,5,290,315,1,2641.0,5039,68.29430442548124,rep1_FOV3
6,5,290,315,1,2623.0,5116,67.6534401876466,rep1_FOV3
7,5,290,315,1,2614.0,5047,68.70873786407768,rep1_FOV3
8,5,290,315,1,2609.0,5126,70.32305891533359,rep1_FOV3
9,5,290,315,1,2618.0,5182,70.70262446931686,rep1_FOV3
10,5,290,315,1,2628.0,5325,75.6050704225352,rep1_FOV3
11,5,290,315,1,2620.0,5403,76.5348880251712,rep1_FOV3
12,5,290,315,1,2617.0,5294,73.840574234983,rep1_FOV3
13,5,290,315,1,2615.0,5089,70.27667518176459,rep1_FOV3
14,5,290,315,1,2604.0,5125,69.68721951219513,rep1_FOV3
15,5,290,315,1,2599.0,5138,70.62203191903464,rep1_FOV3
16,5,290,315,1,2626.0,5014,68.9844435580375,rep1_FOV3
17,5,290,315,1,2630.0,5043,69.07614515169541,rep1_FOV3
18,5,290,315,1,2607.0,4972,67.86745776347546,rep1_FOV3
19,5,290,315,1,2617.0,4906,67.88931920097839,rep1_FOV3
20,5,290,315,1,2633.0,4933,66.47395094263126,rep1_FOV3
0,6,54,393,1,2379.0,5540,71.14440433212997,rep1_FOV3
1,6,54,393,1,2375.0,5445,72.10027548209366,rep1_FOV3
2,6,54,393,1,2384.0,5548,73.36481614996396,rep1_FOV3
3,6,54,393,1,2394.0,6035,83.72460646230323,rep1_FOV3
4,6,54,393,1,2402.0,6036,87.54489728296885,rep1_FOV3
5,6,54,393,1,2387.0,5900,81.73966101694916,rep1_FOV3
6,6,54,393,1,2413.0,5783,77.58810306069515,rep1_FOV3
7,6,54,393,1,2394.0,5622,74.8310209889719,rep1_FOV3
8,6,54,393,1,2396.0,5554,73.49495858840476,rep1_FOV3
9,6,54,393,1,2396.0,5573,72.78970034092949,rep1_FOV3
10,6,54,393,1,2390.0,5626,77.14539637397796,rep1_FOV3
11,6,54,393,1,2392.0,5716,79.23128061581525,rep1_FOV3
12,6,54,393,1,2378.0,5757,77.75317005384748,rep1_FOV3
13,6,54,393,1,2387.0,5731,77.5278310940499,rep1_FOV3
14,6,54,393,1,2388.0,5687,78.27395815016705,rep1_FOV3
15,6,54,393,1,2380.0,5780,78.59792387543253,rep1_FOV3
16,6,54,393,1,2365.0,5723,77.05766206535034,rep1_FOV3
17,6,54,393,1,2398.0,5727,76.59682207089226,rep1_FOV3
18,6,54,393,1,2371.0,5639,75.27079269374002,rep1_FOV3
19,6,54,393,1,2388.0,5632,73.1455965909091,rep1_FOV3
20,6,54,393,1,2388.0,5497,71.1810078224486,rep1_FOV3
0,7,300,424,1,2568.0,6133,118.2256644382847,rep1_FOV3
1,7,300,424,1,2549.0,6105,122.77706797706797,rep1_FOV3
2,7,300,424,1,4.0,6081,125.34254234500905,rep1_FOV3
3,7,300,424,1,2575.0,6021,119.54243481149311,rep1_FOV3
4,7,300,424,1,2551.0,6087,119.6755380318712,rep1_FOV3
5,7,300,424,1,2557.0,5901,100.20318590069479,rep1_FOV3
6,7,300,424,1,2566.0,5646,89.07208643287284,rep1_FOV3
7,7,300,424,1,2561.0,5510,81.24773139745916,rep1_FOV3
8,7,300,424,1,2552.0,5431,78.25851592708526,rep1_FOV3
9,7,300,424,1,2593.0,5444,80.93405584129317,rep1_FOV3
10,7,300,424,1,2553.0,5622,88.73283528993241,rep1_FOV3
11,7,300,424,1,2567.0,5757,97.09970470731284,rep1_FOV3
12,7,300,424,0,0.0,0,0.0,rep1_FOV3
13,7,300,424,0,0.0,0,0.0,rep1_FOV3
14,7,300,424,0,0.0,0,0.0,rep1_FOV3
15,7,300,424,0,0.0,0,0.0,rep1_FOV3
16,7,300,424,0,0.0,0,0.0,rep1_FOV3
17,7,300,424,0,0.0,0,0.0,rep1_FOV3
18,7,300,424,0,0.0,0,0.0,rep1_FOV3
19,7,300,424,0,0.0,0,0.0,rep1_FOV3
20,7,300,424,0,0.0,0,0.0,rep1_FOV3
0,8,590,460,1,2641.0,5500,108.76381818181818,rep1_FOV3
1,8,590,460,1,2633.0,5519,109.51259286102555,rep1_FOV3
2,8,590,460,1,2562.0,5497,108.10314717118428,rep1_FOV3
3,8,590,460,1,2612.0,5471,102.1454944251508,rep1_FOV3
4,8,590,460,1,2630.0,5288,93.49224659606656,rep1_FOV3
5,8,590,460,1,2646.0,5113,83.78544885585762,rep1_FOV3
6,8,590,460,1,2623.0,4917,76.37075452511694,rep1_FOV3
7,8,590,460,1,2625.0,4930,77.72251521298175,rep1_FOV3
8,8,590,460,1,2601.0,5043,83.83105294467579,rep1_FOV3
9,8,590,460,1,2643.0,5158,87.12155874369911,rep1_FOV3
10,8,590,460,1,2617.0,5223,90.27091709745358,rep1_FOV3
11,8,590,460,1,2630.0,5244,88.44641495041952,rep1_FOV3
12,8,590,460,1,2616.0,5166,86.57200929152148,rep1_FOV3
13,8,590,460,1,2614.0,5149,81.88735676830453,rep1_FOV3
14,8,590,460,1,2624.0,5092,81.92183817753339,rep1_FOV3
15,8,590,460,1,2611.0,4923,75.52122689417023,rep1_FOV3
16,8,590,460,1,2625.0,4957,76.44664111357676,rep1_FOV3
17,8,590,460,1,2626.0,4960,76.82197580645162,rep1_FOV3
18,8,590,460,1,2633.0,4896,76.74591503267973,rep1_FOV3
19,8,590,460,1,2626.0,5004,81.02757793764988,rep1_FOV3
20,8,590,460,1,2622.0,5102,80.46393571148569,rep1_FOV3
0,9,560,563,1,2402.0,5440,80.37738970588235,rep1_FOV3
1,9,560,563,1,2379.0,5746,91.64949530107901,rep1_FOV3
2,9,560,563,1,2619.0,5889,103.09424350483953,rep1_FOV3
3,9,560,563,1,2397.0,5969,112.62288490534428,rep1_FOV3
4,9,560,563,1,2412.0,5971,115.36074359403786,rep1_FOV3
5,9,560,563,1,2393.0,5767,99.60065892144962,rep1_FOV3
6,9,560,563,1,2402.0,5672,93.19516925246826,rep1_FOV3
7,9,560,563,1,2400.0,5665,89.79505736981466,rep1_FOV3
8,9,560,563,1,2404.0,5630,86.30479573712256,rep1_FOV3
9,9,560,563,1,2410.0,5479,83.00784814747216,rep1_FOV3
10,9,560,563,1,2399.0,5413,78.72030297432107,rep1_FOV3
11,9,560,563,1,2415.0,5325,76.59624413145539,rep1_FOV3
12,9,560,563,1,2395.0,5306,74.45665284583491,rep1_FOV3
13,9,560,563,1,2394.0,5199,71.99095979996153,rep1_FOV3
14,9,560,563,1,2397.0,5157,71.36416521233275,rep1_FOV3
15,9,560,563,1,2405.0,5275,73.26881516587677,rep1_FOV3
16,9,560,563,1,2401.0,5149,73.5556418722082,rep1_FOV3
17,9,560,563,1,2412.0,5228,75.28385615914307,rep1_FOV3
18,9,560,563,1,2407.0,5363,75.10218161476786,rep1_FOV3
19,9,560,563,1,2395.0,5317,77.59620086514953,rep1_FOV3
20,9,560,563,1,2409.0,5311,74.94972698173602,rep1_FOV3
0,10,407,594,1,2544.0,6247,130.0640307347527,rep1_FOV3
1,10,407,594,1,2558.0,6165,115.11013787510137,rep1_FOV3
2,10,407,594,1,2406.0,6033,107.50256920271838,rep1_FOV3
3,10,407,594,1,2552.0,6057,110.14132408783226,rep1_FOV3
4,10,407,594,1,2530.0,5967,102.68610692140103,rep1_FOV3
5,10,407,594,1,2559.0,5845,91.23250641573995,rep1_FOV3
6,10,407,594,1,2570.0,5675,85.12634361233481,rep1_FOV3
7,10,407,594,1,2537.0,5661,81.57745981275393,rep1_FOV3
8,10,407,594,1,2574.0,5614,79.13323833273958,rep1_FOV3
9,10,407,594,1,2543.0,5607,79.90939896557875,rep1_FOV3
10,10,407,594,1,2553.0,5594,79.61994994637111,rep1_FOV3
11,10,407,594,1,2543.0,5653,81.02971873341589,rep1_FOV3
12,10,407,594,1,2556.0,5460,78.43571428571428,rep1_FOV3
13,10,407,594,1,2563.0,5504,77.77107558139535,rep1_FOV3
14,10,407,594,1,2551.0,5428,77.92464996315401,rep1_FOV3
15,10,407,594,1,2529.0,5412,76.39079822616408,rep1_FOV3
16,10,407,594,1,2544.0,5440,75.8485294117647,rep1_FOV3
17,10,407,594,1,2563.0,5383,74.79639606167565,rep1_FOV3
18,10,407,594,1,2548.0,5230,73.12619502868068,rep1_FOV3
19,10,407,594,1,2573.0,5254,73.79272934906737,rep1_FOV3
20,10,407,594,1,2543.0,5280,72.30984848484849,rep1_FOV3
0,11,172,596,1,2596.0,6119,100.45464945252492,rep1_FOV3
1,11,172,596,1,2586.0,5886,86.04553177030242,rep1_FOV3
2,11,172,596,1,2558.0,5577,77.5748610363995,rep1_FOV3
3,11,172,596,1,2580.0,5564,72.17181883537023,rep1_FOV3
4,11,172,596,1,2593.0,5304,69.84954751131222,rep1_FOV3
5,11,172,596,1,2600.0,5318,68.1494922903347,rep1_FOV3
6,11,172,596,1,2617.0,5203,66.96655775514127,rep1_FOV3
7,11,172,596,1,2590.0,5055,66.85677546983185,rep1_FOV3
8,11,172,596,1,2605.0,5242,66.34834032811904,rep1_FOV3
9,11,172,596,1,2589.0,4833,64.91992551210429,rep1_FOV3
10,11,172,596,1,2614.0,5001,65.28794241151769,rep1_FOV3
11,11,172,596,1,2597.0,5033,64.36300417246176,rep1_FOV3
12,11,172,596,1,2604.0,5016,66.1866028708134,rep1_FOV3
13,11,172,596,1,2601.0,5267,66.22479589899373,rep1_FOV3
14,11,172,596,1,2610.0,5121,67.17809021675454,rep1_FOV3
15,11,172,596,1,2610.0,5305,68.9172478793591,rep1_FOV3
16,11,172,596,1,2590.0,5451,72.82718767198679,rep1_FOV3
17,11,172,596,1,2603.0,5615,75.05752448797863,rep1_FOV3
18,11,172,596,1,2599.0,5518,73.6335628851033,rep1_FOV3
19,11,172,596,1,2600.0,5561,75.04333752922136,rep1_FOV3
20,11,172,596,1,2605.0,5569,72.28119949721673,rep1_FOV3
