Time,Vitality,Protein
1000.0,0.9130434782608695,725.9710144927536
1050.0,0.9057971014492754,729.5144927536232
1100.0,0.8985507246376812,727.6739130434783
1150.0,0.8985507246376812,739.5579710144928
1200.0,0.8985507246376812,745.5797101449275
1250.0,0.8985507246376812,741.2898550724638
1300.0,0.8913043478260869,742.6594202898551
1350.0,0.8623188405797102,711.9855072463768
1400.0,0.8405797101449275,696.1304347826087
1450.0,0.8405797101449275,693.0434782608696
1500.0,0.8260869565217391,692.2971014492754
1550.0,0.8188405797101449,694.6594202898551
1600.0,0.8115942028985508,687.8115942028985
1650.0,0.8043478260869565,665.8695652173913
1700.0,0.8043478260869565,653.4855072463768
1750.0,0.8043478260869565,652.0942028985507
1800.0,0.7971014492753623,649.4710144927536
1850.0,0.7898550724637681,648.7246376811594
1900.0,0.7898550724637681,647.3478260869565
1950.0,0.7898550724637681,660.8188405797101
2000.0,0.7898550724637681,673.6376811594203
