Time,Vitality,Protein
1000.0,0.875968992248062,645.0
1050.0,0.8682170542635659,630.7131782945736
1100.0,0.8682170542635659,630.1472868217054
1150.0,0.8682170542635659,618.0
1200.0,0.8682170542635659,595.4961240310078
1250.0,0.5968992248062015,370.38759689922483
1300.0,0.3875968992248062,264.3953488372093
1350.0,0.27906976744186046,211.05426356589146
1400.0,0.21705426356589147,177.03875968992247
1450.0,0.17054263565891473,134.96124031007753
1500.0,0.12403100775193798,90.04651162790698
1550.0,0.11627906976744186,88.45736434108527
1600.0,0.08527131782945736,69.78294573643412
1650.0,0.05426356589147287,50.46511627906977
1700.0,0.03875968992248062,30.875968992248062
1750.0,0.031007751937984496,36.41860465116279
1800.0,0.023255813953488372,20.689922480620154
1850.0,0.023255813953488372,21.007751937984494
1900.0,0.023255813953488372,20.31782945736434
1950.0,0.015503875968992248,18.705426356589147
2000.0,0.015503875968992248,16.8062015503876
