Time,Vitality,Protein
1000.0,0.8439716312056738,631.4468085106383
1050.0,0.8368794326241135,635.2695035460993
1100.0,0.8368794326241135,642.468085106383
1150.0,0.8368794326241135,654.4893617021277
1200.0,0.8368794326241135,658.581560283688
1250.0,0.8368794326241135,654.6099290780141
1300.0,0.8297872340425532,666.3900709219859
1350.0,0.8297872340425532,662.2411347517731
1400.0,0.8226950354609929,647.9432624113475
1450.0,0.8226950354609929,639.9645390070922
1500.0,0.8226950354609929,645.6879432624113
1550.0,0.8226950354609929,647.2127659574468
1600.0,0.8226950354609929,635.0851063829788
1650.0,0.8226950354609929,624.936170212766
1700.0,0.8226950354609929,611.5248226950355
1750.0,0.8156028368794326,606.6595744680851
1800.0,0.8085106382978723,607.9432624113475
1850.0,0.7943262411347518,587.9219858156029
1900.0,0.7872340425531915,587.0141843971631
1950.0,0.7872340425531915,609.4751773049645
2000.0,0.7730496453900709,631.0
