Cell ID,mRNA in cytoplasm,mRNA in nucleus,Frame,Image
7,1,3,11,rep1_FOV1.tif
8,8,0,11,rep1_FOV1.tif
9,0,0,11,rep1_FOV1.tif
10,0,0,11,rep1_FOV1.tif
11,0,0,11,rep1_FOV1.tif
12,8,2,11,rep1_FOV1.tif
1,0,0,12,rep1_FOV1.tif
2,0,0,12,rep1_FOV1.tif
3,6,1,12,rep1_FOV1.tif
4,0,0,12,rep1_FOV1.tif
5,5,4,12,rep1_FOV1.tif
6,0,0,12,rep1_FOV1.tif
7,1,0,12,rep1_FOV1.tif
8,4,0,12,rep1_FOV1.tif
9,0,0,12,rep1_FOV1.tif
10,0,0,12,rep1_FOV1.tif
11,0,0,12,rep1_FOV1.tif
12,5,1,12,rep1_FOV1.tif
1,0,0,13,rep1_FOV1.tif
2,0,0,13,rep1_FOV1.tif
3,5,1,13,rep1_FOV1.tif
4,0,0,13,rep1_FOV1.tif
5,5,4,13,rep1_FOV1.tif
6,0,0,13,rep1_FOV1.tif
7,2,0,13,rep1_FOV1.tif
8,3,2,13,rep1_FOV1.tif
9,0,0,13,rep1_FOV1.tif
10,0,0,13,rep1_FOV1.tif
11,0,0,13,rep1_FOV1.tif
12,8,1,13,rep1_FOV1.tif
1,0,0,14,rep1_FOV1.tif
2,0,0,14,rep1_FOV1.tif
3,3,1,14,rep1_FOV1.tif
4,0,0,14,rep1_FOV1.tif
5,5,2,14,rep1_FOV1.tif
6,0,0,14,rep1_FOV1.tif
7,4,1,14,rep1_FOV1.tif
8,5,4,14,rep1_FOV1.tif
9,0,0,14,rep1_FOV1.tif
10,0,0,14,rep1_FOV1.tif
11,0,0,14,rep1_FOV1.tif
12,4,0,14,rep1_FOV1.tif
1,0,0,15,rep1_FOV1.tif
2,0,0,15,rep1_FOV1.tif
3,1,0,15,rep1_FOV1.tif
4,0,0,15,rep1_FOV1.tif
5,7,2,15,rep1_FOV1.tif
6,0,0,15,rep1_FOV1.tif
7,1,0,15,rep1_FOV1.tif
8,2,1,15,rep1_FOV1.tif
9,0,0,15,rep1_FOV1.tif
10,0,0,15,rep1_FOV1.tif
11,0,0,15,rep1_FOV1.tif
12,3,0,15,rep1_FOV1.tif
1,0,0,16,rep1_FOV1.tif
2,0,0,16,rep1_FOV1.tif
3,1,0,16,rep1_FOV1.tif
4,0,0,16,rep1_FOV1.tif
5,7,3,16,rep1_FOV1.tif
6,0,0,16,rep1_FOV1.tif
7,5,0,16,rep1_FOV1.tif
8,1,3,16,rep1_FOV1.tif
9,0,0,16,rep1_FOV1.tif
10,0,0,16,rep1_FOV1.tif
11,0,0,16,rep1_FOV1.tif
12,3,1,16,rep1_FOV1.tif
1,0,0,17,rep1_FOV1.tif
2,0,0,17,rep1_FOV1.tif
3,3,1,17,rep1_FOV1.tif
4,0,0,17,rep1_FOV1.tif
5,0,0,17,rep1_FOV1.tif
6,0,0,17,rep1_FOV1.tif
7,4,0,17,rep1_FOV1.tif
8,1,2,17,rep1_FOV1.tif
9,0,0,17,rep1_FOV1.tif
10,0,0,17,rep1_FOV1.tif
11,0,0,17,rep1_FOV1.tif
12,4,3,17,rep1_FOV1.tif
1,0,0,18,rep1_FOV1.tif
2,0,0,18,rep1_FOV1.tif
3,5,1,18,rep1_FOV1.tif
4,0,0,18,rep1_FOV1.tif
5,0,0,18,rep1_FOV1.tif
6,0,0,18,rep1_FOV1.tif
7,2,1,18,rep1_FOV1.tif
8,2,0,18,rep1_FOV1.tif
9,0,0,18,rep1_FOV1.tif
10,0,0,18,rep1_FOV1.tif
11,0,0,18,rep1_FOV1.tif
12,6,4,18,rep1_FOV1.tif
1,0,0,19,rep1_FOV1.tif
2,0,0,19,rep1_FOV1.tif
3,7,2,19,rep1_FOV1.tif
4,0,0,19,rep1_FOV1.tif
5,0,0,19,rep1_FOV1.tif
6,0,0,19,rep1_FOV1.tif
7,4,1,19,rep1_FOV1.tif
8,2,2,19,rep1_FOV1.tif
9,0,0,19,rep1_FOV1.tif
10,0,0,19,rep1_FOV1.tif
11,0,0,19,rep1_FOV1.tif
12,0,0,19,rep1_FOV1.tif
1,0,0,20,rep1_FOV1.tif
2,0,0,20,rep1_FOV1.tif
3,0,0,20,rep1_FOV1.tif
4,0,0,20,rep1_FOV1.tif
5,0,0,20,rep1_FOV1.tif
6,0,0,20,rep1_FOV1.tif
7,3,0,20,rep1_FOV1.tif
8,1,2,20,rep1_FOV1.tif
9,0,0,20,rep1_FOV1.tif
10,0,0,20,rep1_FOV1.tif
11,0,0,20,rep1_FOV1.tif
12,0,0,20,rep1_FOV1.tif
1,5,1,0,rep1_FOV3.tif
2,3,3,0,rep1_FOV3.tif
3,12,2,0,rep1_FOV3.tif
4,4,2,0,rep1_FOV3.tif
5,2,0,0,rep1_FOV3.tif
6,5,2,0,rep1_FOV3.tif
7,0,0,0,rep1_FOV3.tif
8,2,1,0,rep1_FOV3.tif
9,6,2,0,rep1_FOV3.tif
10,3,0,0,rep1_FOV3.tif
11,6,2,0,rep1_FOV3.tif
12,6,3,0,rep1_FOV3.tif
13,2,2,0,rep1_FOV3.tif
14,7,2,0,rep1_FOV3.tif
1,7,3,1,rep1_FOV3.tif
2,4,2,1,rep1_FOV3.tif
3,5,1,1,rep1_FOV3.tif
4,5,4,1,rep1_FOV3.tif
