,time,cell_number,x,y,Alive,nuclei_size,cell_size
164,17,8,345,450,1,2565.0,6727
165,18,8,345,450,1,2548.0,6825
166,19,8,345,450,1,2576.0,6878
167,20,8,345,450,1,2565.0,6909
168,0,9,197,472,1,2850.0,7908
169,1,9,197,472,1,2873.0,7843
170,2,9,197,472,1,2872.0,7965
171,3,9,197,472,1,2862.0,8070
172,4,9,197,472,1,2865.0,8120
173,5,9,197,472,1,2850.0,8068
174,6,9,197,472,0,0.0,0
175,7,9,197,472,0,0.0,0
176,8,9,197,472,0,0.0,0
177,9,9,197,472,0,0.0,0
178,10,9,197,472,0,0.0,0
179,11,9,197,472,0,0.0,0
180,12,9,197,472,0,0.0,0
181,13,9,197,472,0,0.0,0
182,14,9,197,472,0,0.0,0
183,15,9,197,472,0,0.0,0
184,16,9,197,472,0,0.0,0
185,17,9,197,472,0,0.0,0
186,18,9,197,472,0,0.0,0
187,19,9,197,472,0,0.0,0
188,20,9,197,472,0,0.0,0
189,0,10,568,520,1,2562.0,6794
190,1,10,568,520,1,2567.0,6703
191,2,10,568,520,1,2544.0,6875
192,3,10,568,520,1,2588.0,7116
193,4,10,568,520,1,2568.0,7642
194,5,10,568,520,1,2555.0,7997
195,6,10,568,520,1,2573.0,8174
196,7,10,568,520,1,2562.0,8154
197,8,10,568,520,1,2535.0,8198
198,9,10,568,520,0,0.0,0
199,10,10,568,520,0,0.0,0
200,11,10,568,520,0,0.0,0
201,12,10,568,520,0,0.0,0
202,13,10,568,520,0,0.0,0
203,14,10,568,520,0,0.0,0
204,15,10,568,520,0,0.0,0
205,16,10,568,520,0,0.0,0
206,17,10,568,520,0,0.0,0
207,18,10,568,520,0,0.0,0
208,19,10,568,520,0,0.0,0
209,20,10,568,520,0,0.0,0
210,0,11,67,561,1,2838.0,7369
211,1,11,67,561,1,2828.0,7031
212,2,11,67,561,1,2835.0,6968
213,3,11,67,561,1,2825.0,6759
214,4,11,67,561,1,2803.0,6845
215,5,11,67,561,0,0.0,0
216,6,11,67,561,0,0.0,0
217,7,11,67,561,0,0.0,0
218,8,11,67,561,0,0.0,0
219,9,11,67,561,0,0.0,0
220,10,11,67,561,0,0.0,0
221,11,11,67,561,0,0.0,0
222,12,11,67,561,0,0.0,0
223,13,11,67,561,0,0.0,0
224,14,11,67,561,0,0.0,0
225,15,11,67,561,0,0.0,0
226,16,11,67,561,0,0.0,0
227,17,11,67,561,0,0.0,0
228,18,11,67,561,0,0.0,0
229,19,11,67,561,0,0.0,0
230,20,11,67,561,0,0.0,0
231,0,12,281,577,1,2561.0,7566
232,1,12,281,577,1,2555.0,7576
233,2,12,281,577,1,2543.0,7498
234,3,12,281,577,1,2555.0,7400
235,4,12,281,577,1,2545.0,7440
236,5,12,281,577,1,2554.0,7541
237,6,12,281,577,1,2537.0,7385
238,7,12,281,577,1,2552.0,7400
239,8,12,281,577,1,2533.0,7140
240,9,12,281,577,1,2548.0,7052
241,10,12,281,577,1,2554.0,6913
242,11,12,281,577,1,2540.0,6827
243,12,12,281,577,1,2558.0,6942
244,13,12,281,577,1,2563.0,6961
245,14,12,281,577,1,2551.0,6998
246,15,12,281,577,1,2566.0,6979
247,16,12,281,577,1,2561.0,6870
248,17,12,281,577,1,2562.0,6712
249,18,12,281,577,1,2555.0,6535
250,19,12,281,577,0,0.0,0
251,20,12,281,577,0,0.0,0
