time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,172,58,1,2583.0,6468,99.04576376004947,0,2,0,rep1_FOV5
1,1,172,58,1,2596.0,6385,90.76945967110414,0,0,0,rep1_FOV5
2,1,172,58,1,2600.0,6143,86.82614357805632,0,0,0,rep1_FOV5
3,1,172,58,1,2564.0,6111,85.7205040091638,0,2,0,rep1_FOV5
4,1,172,58,1,2576.0,6022,79.41215543008967,0,2,0,rep1_FOV5
5,1,172,58,1,2580.0,5810,75.00688468158347,0,1,0,rep1_FOV5
6,1,172,58,1,2575.0,5861,73.89523972018426,0,1,0,rep1_FOV5
7,1,172,58,1,2588.0,5561,70.0458550620392,0,0,0,rep1_FOV5
8,1,172,58,1,2579.0,5579,68.68596522674315,1,1,1,rep1_FOV5
9,1,172,58,1,2590.0,5686,70.49771368272951,2,3,1,rep1_FOV5
10,1,172,58,1,2594.0,5989,77.63149106695609,3,2,1,rep1_FOV5
11,1,172,58,1,2590.0,6238,91.60259698621353,4,9,2,rep1_FOV5
12,1,172,58,1,2577.0,6665,118.02445611402851,5,17,1,rep1_FOV5
13,1,172,58,1,2571.0,6848,138.59769275700936,4,12,0,rep1_FOV5
14,1,172,58,1,2589.0,6943,152.83695808728214,2,11,1,rep1_FOV5
15,1,172,58,1,2581.0,6898,144.66410553783706,5,5,0,rep1_FOV5
16,1,172,58,1,2572.0,6773,132.22884984497267,1,7,0,rep1_FOV5
17,1,172,58,1,2589.0,6763,124.96377347331067,0,3,0,rep1_FOV5
18,1,172,58,1,2574.0,6666,114.24197419741974,3,4,1,rep1_FOV5
19,1,172,58,1,2590.0,6483,104.96483109671449,3,5,0,rep1_FOV5
20,1,172,58,1,2594.0,6504,103.54612546125462,3,4,0,rep1_FOV5
0,2,427,97,1,2830.0,5182,65.84388267078349,1,1,1,rep1_FOV5
1,2,427,97,1,2825.0,5500,68.23927272727273,0,0,1,rep1_FOV5
2,2,427,97,1,2811.0,5358,67.28611422172452,0,0,1,rep1_FOV5
3,2,427,97,1,2799.0,5251,66.96438773566939,1,1,0,rep1_FOV5
4,2,427,97,1,2830.0,5411,68.50674551838847,1,1,0,rep1_FOV5
5,2,427,97,1,2827.0,5498,71.37413604947254,0,1,0,rep1_FOV5
6,2,427,97,1,2819.0,5550,71.47027027027028,0,1,0,rep1_FOV5
7,2,427,97,1,2826.0,5576,72.51883070301291,0,1,0,rep1_FOV5
8,2,427,97,1,2817.0,5530,70.01121157323689,0,0,0,rep1_FOV5
9,2,427,97,1,2823.0,5369,68.32762153101136,0,0,0,rep1_FOV5
10,2,427,97,1,2820.0,5217,66.70806977189956,0,0,0,rep1_FOV5
11,2,427,97,1,2797.0,5216,65.6458972392638,0,0,0,rep1_FOV5
12,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
13,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
14,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
15,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
16,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
17,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
18,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
19,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
20,2,427,97,0,0.0,0,0.0,0,0,0,rep1_FOV5
0,3,540,180,1,2471.0,6404,88.59369144284823,4,5,1,rep1_FOV5
1,3,540,180,1,2454.0,6426,88.53750389044507,2,3,0,rep1_FOV5
2,3,540,180,1,2437.0,6231,82.90226287915263,2,0,0,rep1_FOV5
3,3,540,180,1,2465.0,6267,77.84490186692197,2,0,0,rep1_FOV5
4,3,540,180,1,2473.0,6197,77.81006938841375,1,2,0,rep1_FOV5
5,3,540,180,1,2446.0,6180,75.26650485436893,2,1,1,rep1_FOV5
6,3,540,180,1,2450.0,6188,77.58678086619263,5,3,1,rep1_FOV5
7,3,540,180,1,2470.0,6426,88.44413320883909,5,6,1,rep1_FOV5
8,3,540,180,1,2448.0,6674,103.18189991009889,6,6,1,rep1_FOV5
9,3,540,180,1,2449.0,6834,112.44366403277729,5,7,0,rep1_FOV5
10,3,540,180,1,2453.0,6761,108.18029877237095,4,4,0,rep1_FOV5
11,3,540,180,1,2467.0,6645,100.36132430398796,2,3,0,rep1_FOV5
12,3,540,180,1,2450.0,6524,90.52513795217658,3,0,1,rep1_FOV5
13,3,540,180,1,2468.0,6515,90.75640828856486,1,12,1,rep1_FOV5
14,3,540,180,1,2455.0,6714,101.47050938337802,7,7,1,rep1_FOV5
15,3,540,180,1,2455.0,6859,113.15614521067211,4,8,1,rep1_FOV5
16,3,540,180,1,2452.0,6927,117.20586112314133,3,6,0,rep1_FOV5
17,3,540,180,1,2452.0,6823,113.7902682104646,1,5,0,rep1_FOV5
18,3,540,180,1,2452.0,6740,105.69569732937686,0,2,0,rep1_FOV5
19,3,540,180,1,2446.0,6613,97.88537728716165,5,2,1,rep1_FOV5
20,3,540,180,1,2456.0,6739,106.21724291437899,4,12,1,rep1_FOV5
0,4,172,195,1,2614.0,12106,73.37708574260697,0,1,0,rep1_FOV5
1,4,172,195,1,2573.0,12030,73.11454696591854,0,1,0,rep1_FOV5
2,4,172,195,1,2597.0,11793,71.46400407021115,0,1,1,rep1_FOV5
3,4,172,195,1,2603.0,11938,71.46950913050762,4,2,0,rep1_FOV5
4,4,172,195,1,2602.0,12185,73.46934755847353,1,5,1,rep1_FOV5
5,4,172,195,1,2598.0,12047,75.96123516228107,4,4,1,rep1_FOV5
6,4,172,195,1,2615.0,12271,79.8149295085975,2,5,2,rep1_FOV5
7,4,172,195,1,2615.0,12442,87.18855489471146,3,8,2,rep1_FOV5
