time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,508,63,1,2377.0,6203,90.25697243269386,5,2,0,rep1_FOV3
1,1,508,63,1,2359.0,6086,83.61140322050608,2,2,1,rep1_FOV3
2,1,508,63,1,2360.0,6036,81.75878064943672,2,1,0,rep1_FOV3
3,1,508,63,1,2369.0,6000,82.01633333333334,0,1,0,rep1_FOV3
4,1,508,63,1,2356.0,6131,80.66563366498124,0,1,0,rep1_FOV3
5,1,508,63,1,2370.0,6014,78.54489524442967,0,1,0,rep1_FOV3
6,1,508,63,1,2375.0,5787,73.91342664593053,0,0,0,rep1_FOV3
7,1,508,63,1,2389.0,5670,70.75449735449736,0,0,0,rep1_FOV3
8,1,508,63,1,2373.0,5678,68.7765058119056,2,0,0,rep1_FOV3
9,1,508,63,1,2368.0,5505,67.43106267029972,1,2,1,rep1_FOV3
10,1,508,63,1,2379.0,5245,66.23279313632031,3,1,0,rep1_FOV3
11,1,508,63,1,2347.0,5595,69.57819481680072,2,1,0,rep1_FOV3
12,1,508,63,1,2384.0,5710,70.88669001751313,1,2,0,rep1_FOV3
13,1,508,63,1,2374.0,5833,72.92611006343219,2,3,1,rep1_FOV3
14,1,508,63,1,2383.0,5997,79.59913289978323,3,3,1,rep1_FOV3
15,1,508,63,1,2371.0,6119,85.44843928746528,2,10,0,rep1_FOV3
16,1,508,63,1,2373.0,6340,95.0077287066246,2,6,0,rep1_FOV3
17,1,508,63,1,2366.0,6252,90.86692258477288,2,2,1,rep1_FOV3
18,1,508,63,1,2366.0,6168,87.62856679636835,0,2,1,rep1_FOV3
19,1,508,63,1,2358.0,6110,83.94369885433716,1,3,0,rep1_FOV3
20,1,508,63,1,2373.0,6075,80.9520987654321,1,3,0,rep1_FOV3
0,2,375,131,1,2580.0,5218,69.20448447681103,1,0,0,rep1_FOV3
1,2,375,131,1,2574.0,5139,69.37847830317182,0,0,0,rep1_FOV3
2,2,375,131,1,2577.0,4984,68.21388443017656,1,1,1,rep1_FOV3
3,2,375,131,1,2591.0,5291,72.8000378000378,4,1,1,rep1_FOV3
4,2,375,131,1,2572.0,5497,78.79716208841187,3,4,0,rep1_FOV3
5,2,375,131,1,2567.0,5604,84.60563882940757,1,2,1,rep1_FOV3
6,2,375,131,1,2588.0,5616,85.00302706552706,1,3,0,rep1_FOV3
7,2,375,131,1,2590.0,5656,86.92998585572843,1,1,1,rep1_FOV3
8,2,375,131,1,2592.0,5744,88.63457520891365,3,4,1,rep1_FOV3
9,2,375,131,1,2578.0,5783,92.2491786270102,7,2,1,rep1_FOV3
10,2,375,131,1,2594.0,6032,102.16909814323607,4,6,1,rep1_FOV3
11,2,375,131,1,2580.0,6017,106.70117999002825,3,4,0,rep1_FOV3
12,2,375,131,1,2590.0,6015,104.24438902743142,1,3,0,rep1_FOV3
13,2,375,131,1,2591.0,5927,98.42787244811878,1,1,0,rep1_FOV3
14,2,375,131,1,2605.0,5789,92.35221972706857,2,2,1,rep1_FOV3
15,2,375,131,1,2592.0,5835,93.83221936589545,1,3,1,rep1_FOV3
