time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,218,162,1,4.0,0,0.0,0,0,0,rep2_FOV2
1,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
2,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
3,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
4,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
5,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
6,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
7,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
8,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
9,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
10,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
11,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
12,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
13,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
14,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
15,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
16,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
17,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
18,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
19,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
20,1,218,162,0,0.0,0,0.0,0,0,0,rep2_FOV2
0,2,428,191,1,2545.0,12907,100.08127372743472,5,18,1,rep2_FOV2
1,2,428,191,1,2538.0,13056,107.64805453431373,7,14,1,rep2_FOV2
2,2,428,191,1,2539.0,13164,109.74718930416287,3,10,0,rep2_FOV2
3,2,428,191,1,2525.0,13017,102.33371744641623,6,6,0,rep2_FOV2
4,2,428,191,1,2545.0,12793,96.41835378722739,2,5,0,rep2_FOV2
5,2,428,191,1,2526.0,12577,90.45249264530491,0,5,0,rep2_FOV2
6,2,428,191,1,2538.0,12428,84.7309301577084,0,0,0,rep2_FOV2
7,2,428,191,1,2546.0,11988,78.85694027360694,3,2,2,rep2_FOV2
8,2,428,191,1,2538.0,12061,76.6196003648122,6,5,2,rep2_FOV2
9,2,428,191,1,2533.0,12290,82.22074857607811,11,14,2,rep2_FOV2
10,2,428,191,1,7.0,13015,103.93000384172109,8,19,4,rep2_FOV2
11,2,428,191,1,25.0,13589,124.96430936787107,9,23,2,rep2_FOV2
12,2,428,191,1,2576.0,13737,134.43226323069084,3,14,1,rep2_FOV2
13,2,428,191,1,2541.0,13543,128.657018385882,4,12,1,rep2_FOV2
14,2,428,191,1,38.0,13377,120.52171637885924,3,8,1,rep2_FOV2
15,2,428,191,1,2532.0,13173,112.80095650193577,2,9,0,rep2_FOV2
16,2,428,191,1,2553.0,12977,103.03945441935733,7,14,1,rep2_FOV2
17,2,428,191,0,0.0,11994,88.64148741037185,3,4,2,rep2_FOV2
18,2,428,191,0,0.0,10181,91.97937334250074,9,7,1,rep2_FOV2
19,2,428,191,0,0.0,0,0.0,0,0,0,rep2_FOV2
20,2,428,191,0,0.0,0,0.0,0,0,0,rep2_FOV2
0,3,351,268,1,2742.0,12907,100.08127372743472,5,18,1,rep2_FOV2
1,3,351,268,1,2739.0,13056,107.64805453431373,7,14,1,rep2_FOV2
2,3,351,268,1,2743.0,13164,109.74718930416287,3,10,0,rep2_FOV2
3,3,351,268,1,2724.0,13017,102.33371744641623,6,6,0,rep2_FOV2
4,3,351,268,1,2739.0,12793,96.41835378722739,2,5,0,rep2_FOV2
5,3,351,268,1,2753.0,12577,90.45249264530491,0,5,0,rep2_FOV2
6,3,351,268,1,2748.0,12428,84.7309301577084,0,0,0,rep2_FOV2
7,3,351,268,1,2754.0,11988,78.85694027360694,3,2,2,rep2_FOV2
8,3,351,268,1,2752.0,12061,76.6196003648122,6,5,2,rep2_FOV2
9,3,351,268,1,2749.0,12290,82.22074857607811,11,14,2,rep2_FOV2
10,3,351,268,1,2538.0,13015,103.93000384172109,8,19,4,rep2_FOV2
11,3,351,268,1,2525.0,13589,124.96430936787107,9,23,2,rep2_FOV2
12,3,351,268,1,2734.0,13737,134.43226323069084,3,14,1,rep2_FOV2
13,3,351,268,1,2724.0,13543,128.657018385882,4,12,1,rep2_FOV2
14,3,351,268,1,2540.0,13377,120.52171637885924,3,8,1,rep2_FOV2
15,3,351,268,1,2741.0,13173,112.80095650193577,2,9,0,rep2_FOV2
16,3,351,268,1,2739.0,12977,103.03945441935733,7,14,1,rep2_FOV2
17,3,351,268,1,2747.0,11994,88.64148741037185,3,4,2,rep2_FOV2
18,3,351,268,1,2758.0,10181,91.97937334250074,9,7,1,rep2_FOV2
19,3,351,268,1,2746.0,7092,116.97687535250986,2,9,1,rep2_FOV2
20,3,351,268,1,2732.0,7241,124.26156608203287,2,6,1,rep2_FOV2
0,4,136,328,1,2528.0,6747,126.04253742404032,4,1,0,rep2_FOV2
1,4,136,328,1,2512.0,6514,101.65013816395457,3,0,0,rep2_FOV2
2,4,136,328,1,2502.0,6235,89.36086607858861,1,0,0,rep2_FOV2
3,4,136,328,1,2497.0,6083,81.32385336182804,1,1,0,rep2_FOV2
4,4,136,328,1,2529.0,6097,80.1349844185665,1,1,1,rep2_FOV2
5,4,136,328,1,2525.0,6121,81.38212710341448,0,2,1,rep2_FOV2
6,4,136,328,1,2512.0,6116,83.97432962720733,4,6,1,rep2_FOV2
7,4,136,328,1,2514.0,6388,96.67908578584847,2,9,1,rep2_FOV2
8,4,136,328,1,2517.0,6560,101.02057926829268,5,4,0,rep2_FOV2
9,4,136,328,1,2537.0,6505,101.91760184473482,2,8,0,rep2_FOV2
10,4,136,328,1,2767.0,6477,101.65493283927745,4,6,1,rep2_FOV2
11,4,136,328,1,2755.0,6473,99.86992121118492,8,8,1,rep2_FOV2
12,4,136,328,1,2517.0,6631,109.30689187151259,3,9,1,rep2_FOV2
13,4,136,328,1,2520.0,6575,109.31543726235742,6,10,0,rep2_FOV2
14,4,136,328,1,2768.0,6521,106.11148596840975,1,7,0,rep2_FOV2
15,4,136,328,1,2537.0,6569,106.90546506317553,0,7,0,rep2_FOV2
16,4,136,328,1,2496.0,6536,107.82129742962056,0,6,1,rep2_FOV2
17,4,136,328,1,2512.0,6507,100.18948824343015,1,7,1,rep2_FOV2
18,4,136,328,1,2504.0,6420,99.08878504672897,2,6,0,rep2_FOV2
19,4,136,328,1,2510.0,6547,104.03024285932489,2,4,0,rep2_FOV2
20,4,136,328,1,2539.0,6477,98.69615562760538,0,3,0,rep2_FOV2
0,5,259,356,1,2799.0,6257,74.59725107879176,1,2,0,rep2_FOV2
1,5,259,356,1,2764.0,6291,77.74884756000635,0,1,0,rep2_FOV2
2,5,259,356,1,2757.0,6195,77.17917675544794,1,1,1,rep2_FOV2
3,5,259,356,1,2763.0,6135,74.29372453137735,2,1,0,rep2_FOV2
4,5,259,356,1,2768.0,6107,73.85934173898805,2,1,2,rep2_FOV2
5,5,259,356,1,2763.0,6411,81.5763531430354,3,4,2,rep2_FOV2
6,5,259,356,1,2767.0,6520,88.5,1,8,1,rep2_FOV2
7,5,259,356,1,2773.0,6712,98.96796781883194,4,10,1,rep2_FOV2
8,5,259,356,1,2762.0,6878,108.28104100029078,3,6,1,rep2_FOV2
9,5,259,356,1,2778.0,6932,113.7804385458742,5,7,0,rep2_FOV2
10,5,259,356,1,2534.0,6933,114.4945910861099,2,3,0,rep2_FOV2
11,5,259,356,1,2504.0,6841,102.93699751498319,2,2,0,rep2_FOV2
12,5,259,356,1,2773.0,6664,95.19072629051621,0,2,1,rep2_FOV2
13,5,259,356,1,2768.0,6558,88.13007014333638,2,3,1,rep2_FOV2
14,5,259,356,1,2513.0,6653,93.16428678791523,3,4,1,rep2_FOV2
15,5,259,356,1,2768.0,6670,97.79430284857571,4,5,2,rep2_FOV2
16,5,259,356,1,2769.0,6899,113.21061023336715,3,8,1,rep2_FOV2
17,5,259,356,1,2772.0,7087,129.25116410328772,4,11,1,rep2_FOV2
18,5,259,356,1,2761.0,7166,141.24155735417247,3,11,1,rep2_FOV2
19,5,259,356,1,2773.0,7161,135.6425080296048,3,6,0,rep2_FOV2
20,5,259,356,1,2764.0,7023,118.83269258151788,3,4,0,rep2_FOV2
0,6,75,512,1,2496.0,5756,76.93085476025017,0,1,0,rep2_FOV2
1,6,75,512,1,2457.0,5629,75.15082607923254,5,2,1,rep2_FOV2
2,6,75,512,1,2472.0,5915,79.56043956043956,0,3,1,rep2_FOV2
3,6,75,512,1,2465.0,5966,84.71270533020449,1,3,0,rep2_FOV2
4,6,75,512,1,2477.0,6123,91.77331373509718,4,3,1,rep2_FOV2
5,6,75,512,1,2465.0,6469,110.92950997062916,5,9,2,rep2_FOV2
6,6,75,512,1,2458.0,6621,135.11221869808185,5,10,1,rep2_FOV2
7,6,75,512,1,2468.0,6702,143.10743061772604,2,8,1,rep2_FOV2
8,6,75,512,1,2472.0,6588,132.1168791742562,2,5,0,rep2_FOV2
9,6,75,512,1,2475.0,6455,116.04941905499612,1,4,1,rep2_FOV2
10,6,75,512,1,2776.0,6436,114.44530764449969,3,8,1,rep2_FOV2
11,6,75,512,1,2761.0,6419,113.61286804798254,2,1,0,rep2_FOV2
12,6,75,512,1,2459.0,6391,106.53246753246754,4,3,1,rep2_FOV2
13,6,75,512,1,2459.0,6401,108.64724261834088,4,9,2,rep2_FOV2
14,6,75,512,1,2765.0,6490,117.97072419106317,5,10,1,rep2_FOV2
15,6,75,512,1,2462.0,6572,124.2636944613512,6,9,0,rep2_FOV2
