time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,146,62,1,2835.0,14072,98.30805855599773,4,15,3,rep2_FOV6
1,1,146,62,1,2844.0,14358,105.83305474300042,8,17,2,rep2_FOV6
2,1,146,62,1,2845.0,14564,114.83177698434496,9,16,2,rep2_FOV6
3,1,146,62,1,2832.0,14565,122.23110195674562,4,16,1,rep2_FOV6
4,1,146,62,1,2825.0,14661,121.37937384898711,10,19,0,rep2_FOV6
5,1,146,62,1,2825.0,14708,123.08729942888225,4,14,0,rep2_FOV6
6,1,146,62,1,2851.0,14629,119.85535580012305,4,15,1,rep2_FOV6
7,1,146,62,1,2839.0,14717,120.35210980498744,3,14,1,rep2_FOV6
8,1,146,62,1,2842.0,14710,123.40666213460231,7,15,2,rep2_FOV6
9,1,146,62,1,2840.0,14568,118.36113399231192,8,10,2,rep2_FOV6
10,1,146,62,1,2851.0,14247,109.10837369270723,6,9,2,rep2_FOV6
11,1,146,62,1,2839.0,14413,107.47887323943662,6,10,1,rep2_FOV6
12,1,146,62,1,2821.0,14321,107.73004678444242,2,11,1,rep2_FOV6
13,1,146,62,1,2833.0,14357,105.13345406421955,10,11,2,rep2_FOV6
14,1,146,62,1,2847.0,14252,105.87973617737862,8,10,2,rep2_FOV6
15,1,146,62,1,2824.0,14400,108.53256944444445,8,15,0,rep2_FOV6
16,1,146,62,1,2836.0,14436,109.11880022166805,6,13,1,rep2_FOV6
17,1,146,62,1,2855.0,14278,106.80725591819582,4,7,1,rep2_FOV6
18,1,146,62,1,2859.0,14207,100.89350320264658,9,5,1,rep2_FOV6
19,1,146,62,1,2840.0,14054,95.82716664294863,6,7,0,rep2_FOV6
20,1,146,62,1,2861.0,13973,93.22844056394474,0,6,1,rep2_FOV6
0,2,442,115,1,2693.0,6612,128.3077737447066,2,3,0,rep2_FOV6
1,2,442,115,1,2677.0,6445,116.67726920093095,2,6,0,rep2_FOV6
2,2,442,115,1,2684.0,6400,106.51328125,2,3,0,rep2_FOV6
3,2,442,115,1,2669.0,6460,110.17337461300309,2,6,1,rep2_FOV6
4,2,442,115,1,2687.0,6558,118.56922842329979,4,8,0,rep2_FOV6
5,2,442,115,1,2650.0,6582,118.72546338498937,0,5,1,rep2_FOV6
6,2,442,115,1,2658.0,6541,116.77465219385415,4,7,0,rep2_FOV6
7,2,442,115,1,2653.0,6471,112.5268119301499,2,4,0,rep2_FOV6
8,2,442,115,1,2690.0,6347,105.45013392153774,1,2,1,rep2_FOV6
9,2,442,115,1,2693.0,6378,102.34791470680464,2,4,0,rep2_FOV6
10,2,442,115,1,2649.0,6233,96.3017808438954,0,3,0,rep2_FOV6
11,2,442,115,1,2664.0,6198,94.01565020974508,1,6,1,rep2_FOV6
12,2,442,115,1,2676.0,6400,104.21109375,2,3,1,rep2_FOV6
13,2,442,115,1,2672.0,6375,106.98274509803922,4,5,0,rep2_FOV6
14,2,442,115,1,2668.0,6423,110.33722559551612,1,8,1,rep2_FOV6
15,2,442,115,1,2669.0,6615,124.47528344671201,4,11,1,rep2_FOV6
16,2,442,115,1,2661.0,6853,154.48650226178316,3,11,1,rep2_FOV6
17,2,442,115,1,2677.0,6891,169.09751850239442,3,10,1,rep2_FOV6
18,2,442,115,1,2665.0,6946,177.6849985603225,4,9,0,rep2_FOV6
19,2,442,115,1,2667.0,6917,168.81321382102067,2,11,0,rep2_FOV6
20,2,442,115,1,2681.0,6825,156.8014652014652,0,4,0,rep2_FOV6
0,3,85,156,1,2846.0,14072,98.30805855599773,4,15,3,rep2_FOV6
1,3,85,156,1,2824.0,14358,105.83305474300042,8,17,2,rep2_FOV6
2,3,85,156,1,2820.0,14564,114.83177698434496,9,16,2,rep2_FOV6
3,3,85,156,1,2820.0,14565,122.23110195674562,4,16,1,rep2_FOV6
