time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,501,51,1,2455.0,6366,127.7813383600377,0,12,0,rep1_FOV2
1,1,501,51,1,2444.0,6366,123.13839145460257,0,6,1,rep1_FOV2
2,1,501,51,1,2422.0,6160,112.49545454545455,3,4,0,rep1_FOV2
3,1,501,51,1,2450.0,6099,103.85899327758649,1,4,0,rep1_FOV2
4,1,501,51,1,2444.0,6038,97.3810864524677,1,2,0,rep1_FOV2
5,1,501,51,1,2433.0,5938,89.70781407881442,1,3,0,rep1_FOV2
6,1,501,51,1,2428.0,5775,86.38787878787879,0,1,0,rep1_FOV2
7,1,501,51,1,2459.0,5676,81.62914023960536,0,1,0,rep1_FOV2
8,1,501,51,1,2426.0,5617,78.93804521986826,0,1,0,rep1_FOV2
9,1,501,51,1,2437.0,5577,76.00699300699301,0,1,0,rep1_FOV2
10,1,501,51,1,2429.0,5502,74.69592875318067,0,1,0,rep1_FOV2
11,1,501,51,1,2439.0,5380,72.8732342007435,0,0,0,rep1_FOV2
12,1,501,51,1,2421.0,5355,70.50289449112978,2,1,1,rep1_FOV2
13,1,501,51,1,2450.0,5461,71.2213880241714,5,0,0,rep1_FOV2
14,1,501,51,1,2431.0,5530,76.57396021699819,0,3,0,rep1_FOV2
15,1,501,51,1,2423.0,5610,76.5729055258467,0,2,0,rep1_FOV2
16,1,501,51,1,2450.0,5510,77.0032667876588,0,2,0,rep1_FOV2
17,1,501,51,1,2428.0,5399,73.1076125208372,0,1,0,rep1_FOV2
18,1,501,51,1,2434.0,5282,71.31067777357062,0,0,0,rep1_FOV2
19,1,501,51,1,2433.0,5305,69.32233741753063,0,0,0,rep1_FOV2
20,1,501,51,1,2416.0,5183,67.09974918001157,3,0,1,rep1_FOV2
0,2,119,65,1,2574.0,5534,65.72985182508131,0,0,0,rep1_FOV2
1,2,119,65,1,2560.0,5603,65.14849187935035,2,0,0,rep1_FOV2
2,2,119,65,1,2558.0,5440,66.30349264705882,3,0,0,rep1_FOV2
3,2,119,65,1,2587.0,5657,65.84567792115962,2,1,0,rep1_FOV2
4,2,119,65,1,2563.0,5596,67.65582558970694,1,0,0,rep1_FOV2
5,2,119,65,1,2568.0,5878,68.75620959510037,1,0,1,rep1_FOV2
6,2,119,65,1,2579.0,6050,72.24247933884297,2,5,1,rep1_FOV2
7,2,119,65,1,2539.0,6558,89.1549252820982,4,5,1,rep1_FOV2
8,2,119,65,1,2586.0,6853,111.96614621333723,3,6,1,rep1_FOV2
